id;nombre
786;ABREGO
787;ARBOLEDAS
788;BOCHALEMA
789;BUCARASICA
790;CACOTA
791;CACHIRA
792;CHINACOTA
793;CHITAGA
794;CONVENCION
795;CUCUTILLA
796;DURANIA
797;EL CARMEN
798;EL TARRA
799;EL ZULIA
800;GRAMALOTE
801;HACARI
802;HERRAN
803;LABATECA
804;LA ESPERANZA
805;LA PLAYA
806;LOS PATIOS
807;LOURDES
808;MUTISCUA
809;OCAÑA
810;PAMPLONA
811;PAMPLONITA
812;PUERTO SANTANDER
813;RAGONVALIA
814;SALAZAR
815;SAN CALIXTO
816;SAN CAYETANO
817;SANTIAGO
818;SARDINATA
819;SILOS
820;TEORAMA
821;TIBU
822;TOLEDO
823;VILLACARO
824;VILLA DEL ROSARIO
825;ARMENIA
826;BUENAVISTA
827;CALARCA
828;CIRCASIA
829;CORDOBA
830;FILANDIA
831;GENOVA
832;LA TEBAIDA
833;MONTENEGRO
834;PIJAO
835;QUIMBAYA
836;SALENTO
837;PEREIRA
838;APIA
839;BALBOA
840;BELEN DE UMBRIA
841;DOS QUEBRADAS
842;GUATICA
843;LA CELIA
844;LA VIRGINIA
845;MARSELLA
846;MISTRATO
847;PUEBLO RICO
848;QUINCHIA
849;SANTA ROSA DE CABAL
850;SANTUARIO
851;BUCARAMANGA
852;AGUADA
853;ALBANIA
854;ARATOCA
855;BARBOSA
856;BARICHARA
857;BARRANCABERMEJA
858;BETULIA
859;BOLIVAR
860;CABRERA
861;CALIFORNIA
862;CAPITANEJO
863;CARCASI
864;CEPITA
865;CERRITO
866;CHARALA
867;CHARTA
868;CHIMA
869;CHIPATA
870;CIMITARRA
871;CONCEPCION
872;CONFINES
873;CONTRATACION
874;COROMORO
875;CURITI
876;EL CARMEN DE CHUCURY
877;EL GUACAMAYO
878;EL PEÑON
879;EL PLAYON
880;ENCINO
881;ENCISO
882;FLORIAN
883;FLORIDABLANCA
884;GALAN
885;GAMBITA
886;GIRON
887;GUACA
888;GUADALUPE
889;GUAPOTA
890;GUAVATA
891;GUEPSA
892;HATO
893;JESUS MARIA
894;JORDAN
895;LA BELLEZA
896;LANDAZURI
897;LA PAZ
898;LEBRIJA
899;LOS SANTOS
900;MACARAVITA
901;MALAGA
902;MATANZA
903;MOGOTES
904;MOLAGAVITA
905;OCAMONTE
906;OIBA
907;ONZAGA
908;PALMAR
909;PALMAS DEL SOCORRO
910;PARAMO
911;PIEDECUESTA
912;PINCHOTE
913;PUENTE NACIONAL
914;PUERTO PARRA
915;PUERTO WILCHES
916;RIONEGRO
917;SABANA DE TORRES
918;SAN ANDRES
919;SAN BENITO
920;SAN GIL
921;SAN JOAQUIN
922;SAN JOSE DE MIRANDA
923;SAN MIGUEL
924;SAN VICENTE DE CHUCURI
925;SANTA BARBARA
926;SANTA HELENA DEL OPON
927;SIMACOTA
928;SOCORRO
929;SUAITA
930;SUCRE
931;SURATA
932;TONA
933;VALLE SAN JOSE
934;VELEZ
935;VETAS
936;VILLANUEVA
937;ZAPATOCA
938;SINCELEJO
939;BUENAVISTA
940;CAIMITO
941;COLOSO (RICAURTE)
942;COROZAL
943;CHALAN
944;GALERAS (NUEVA GRANADA)
945;GUARANDA
946;LA UNION
947;LOS PALMITOS
948;MAJAGUAL
949;MORROA
